,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash,In_nascent_v0,keyword,IsGRO-seq (TRUE or FALSE),keyword
SRR2820402,2/15/16 17:17,10/26/15 21:43,1741382,453999021,1741382,260,214,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820402,SRX1384834,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1134974,SAMN04216157,simple,10090,Mus musculus,GSM1917793,,,,,,,no,,,,,GEO,SRA307256,,public,65A1537D511C8D42AAE8617FE02A3CD1,4E657BE8B33041E648F82275F1757324,FALSE,,,
SRR2820403,2/15/16 17:17,10/26/15 21:43,1795107,492635703,1795107,274,232,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820403,SRX1384835,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135067,SAMN04216158,simple,10090,Mus musculus,GSM1917794,,,,,,,no,,,,,GEO,SRA307256,,public,9505277E27F69A5775B45A4FC8921FBE,E02169FBD387E99DEB68F72B110A30C9,FALSE,,,
SRR2820404,2/15/16 17:17,10/26/15 21:43,1554794,441548864,1554794,283,210,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820404,SRX1384836,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135066,SAMN04216159,simple,10090,Mus musculus,GSM1917795,,,,,,,no,,,,,GEO,SRA307256,,public,365E60CB8CA0D77017DB4E8E7B9CE01C,38EB370C4FA87B1BEAC07FC7C5609F4E,FALSE,,,
SRR2820405,2/15/16 17:17,10/26/15 21:43,1047346,285879301,1047346,272,145,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820405,SRX1384837,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135064,SAMN04216160,simple,10090,Mus musculus,GSM1917796,,,,,,,no,,,,,GEO,SRA307256,,public,E451DBC713273BEF1BCF1B8A2805F910,7DA01E78B16966CBEDCD0B21CC76F6FD,FALSE,,,
SRR2820406,2/15/16 17:17,10/26/15 21:43,1042388,284512064,1042388,272,144,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820406,SRX1384838,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135065,SAMN04216161,simple,10090,Mus musculus,GSM1917797,,,,,,,no,,,,,GEO,SRA307256,,public,8AE70E48D1482CA4E83554611942B6C2,C8F6E91C890A894C341BD24476F7A7AD,FALSE,,,
SRR2820408,2/15/16 17:17,10/26/15 21:43,1767934,499137613,1767934,282,236,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820408,SRX1384840,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135062,SAMN04216163,simple,10090,Mus musculus,GSM1917799,,,,,,,no,,,,,GEO,SRA307256,,public,882DC4A4F91682B8E506C7FA9487B95D,15D696279C47DC9B8BA821E4E18590F0,FALSE,,,
SRR2820409,2/15/16 17:17,10/26/15 21:43,1006503,277506772,1006503,275,140,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820409,SRX1384841,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135061,SAMN04216164,simple,10090,Mus musculus,GSM1917800,,,,,,,no,,,,,GEO,SRA307256,,public,3AF01525CF6AE2D269ABC066F22087F3,764624732851202EACC4E1E07714FDBA,FALSE,,,
SRR2820410,2/15/16 17:17,10/26/15 21:43,996666,300446187,996666,301,152,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820410,SRX1384842,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135060,SAMN04216165,simple,10090,Mus musculus,GSM1917801,,,,,,,no,,,,,GEO,SRA307256,,public,0CE165D73913637D1AA105ED92278BA9,6E917B06CDF6AA2375A6CCCFBB7CE4CA,FALSE,,,
SRR2820411,2/15/16 17:17,10/26/15 21:43,868602,280218304,868602,322,143,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820411,SRX1384843,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135059,SAMN04216166,simple,10090,Mus musculus,GSM1917802,,,,,,,no,,,,,GEO,SRA307256,,public,82CE38EF4F0E75269E91FEEFD98DD8E2,55407A6910C3DCFADAD88D764CDD36B0,FALSE,,,
SRR2820412,2/15/16 17:17,10/26/15 21:44,724662,208958385,724662,288,112,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820412,SRX1384844,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135058,SAMN04216167,simple,10090,Mus musculus,GSM1917803,,,,,,,no,,,,,GEO,SRA307256,,public,63729DE5B52F987AB35FA2C7A0A7F6DF,EC193A8D1F1054AA274301299AED7CA8,FALSE,,,
SRR2820413,2/15/16 17:17,10/26/15 21:44,641076,181099483,641076,282,98,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820413,SRX1384845,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135056,SAMN04216197,simple,10090,Mus musculus,GSM1917804,,,,,,,no,,,,,GEO,SRA307256,,public,CA48038353CC7D4497ABCB2D1368C5A6,B242CF6BDD20AA76DBB49347D900F54C,FALSE,,,
SRR2820414,2/15/16 17:17,10/26/15 21:48,1144103,321215280,1144103,280,192,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820414,SRX1384846,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135057,SAMN04216198,simple,10090,Mus musculus,GSM1917805,,,,,,,no,,,,,GEO,SRA307256,,public,77572FA7133A8CF9A069A164EFD64F39,21DA23CD011D569A80FA616F6982E142,FALSE,,,
SRR2820415,2/15/16 17:17,10/26/15 21:48,1119129,336342913,1119129,300,202,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820415,SRX1384847,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135055,SAMN04216199,simple,10090,Mus musculus,GSM1917806,,,,,,,no,,,,,GEO,SRA307256,,public,FEFB55338520CE656BD8E4CE913E7FD7,413D94C8103A05700E4D12F042110484,FALSE,,,
SRR2820416,2/15/16 17:17,11/3/15 12:52,1342629,362144402,1342629,269,214,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820416,SRX1384848,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135053,SAMN04216200,simple,10090,Mus musculus,GSM1917807,,,,,,,no,,,,,GEO,SRA307256,,public,ADB6C721FA6E7CD5ED36821F3179A9F8,09F27A208FBF629D18B74388F81197B4,FALSE,,,
SRR2820417,2/15/16 17:17,11/3/15 12:52,1471721,400957901,1471721,272,239,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820417,SRX1384849,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135052,SAMN04216201,simple,10090,Mus musculus,GSM1917808,,,,,,,no,,,,,GEO,SRA307256,,public,7F1EB459187C08D0877A57B9CFDA8AA2,5368190EAFA98C13E1230957F59071DB,FALSE,,,
SRR2820418,2/15/16 17:17,10/26/15 21:48,1250432,351702814,1250432,281,206,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820418,SRX1384850,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135051,SAMN04216202,simple,10090,Mus musculus,GSM1917809,,,,,,,no,,,,,GEO,SRA307256,,public,E7D766372CDCF9C00924D0436E39621B,2413D5EF0B68E04ADDB0FC4C1CA5B45B,FALSE,,,
SRR2820419,2/15/16 17:17,11/3/15 12:50,1225786,350393250,1225786,285,208,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820419,SRX1384851,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135050,SAMN04216203,simple,10090,Mus musculus,GSM1917810,,,,,,,no,,,,,GEO,SRA307256,,public,B84629B02542DDCB803311105138548E,8F82412A15BBD06BD11E0D4A0DF39871,FALSE,,,
SRR2820420,2/15/16 17:17,11/3/15 12:50,883084,257954929,883084,292,158,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820420,SRX1384852,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135054,SAMN04216204,simple,10090,Mus musculus,GSM1917811,,,,,,,no,,,,,GEO,SRA307256,,public,AA520F7581CF538E44AB1B552CDA5DF8,FCDA6347D23936719B5A4715397A0BEF,FALSE,,,
SRR2820421,2/15/16 17:17,10/26/15 21:44,1228338,346533503,1228338,282,203,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820421,SRX1384853,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135049,SAMN04216205,simple,10090,Mus musculus,GSM1917812,,,,,,,no,,,,,GEO,SRA307256,,public,58641CBE1B4D912FB51C2E6CF57F74E9,26B034EFACC358440F2E0DCE37FEB195,FALSE,,,
SRR2820422,2/15/16 17:17,10/26/15 21:49,1072536,290274454,1072536,270,151,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820422,SRX1384854,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135048,SAMN04216206,simple,10090,Mus musculus,GSM1917813,,,,,,,no,,,,,GEO,SRA307256,,public,668CE3ACF1A6BEB0D6FACF7CC44A3FB8,974DFD3204DF9032E73FFB09C988009B,FALSE,,,
SRR2820423,2/15/16 17:17,10/26/15 21:43,1110511,325566701,1110511,293,171,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820423,SRX1384855,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135047,SAMN04216207,simple,10090,Mus musculus,GSM1917814,,,,,,,no,,,,,GEO,SRA307256,,public,166B3E6F2541EAEB8F343CB62631F965,C05F37244B9C0619A925DB1CEE1E22C3,FALSE,,,
SRR2820424,2/15/16 17:17,10/26/15 21:43,1147389,331837388,1147389,289,173,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820424,SRX1384856,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135046,SAMN04216208,simple,10090,Mus musculus,GSM1917815,,,,,,,no,,,,,GEO,SRA307256,,public,04D84958011BB8D729F8E034B34E9630,F9116C55AD53B21441878EE0632D8406,FALSE,,,
SRR2820425,2/15/16 17:17,10/26/15 21:48,967335,233749043,967335,241,138,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820425,SRX1384857,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135045,SAMN04216209,simple,10090,Mus musculus,GSM1917816,,,,,,,no,,,,,GEO,SRA307256,,public,EF5989FFD571BD554BBC6BF3EEEFA708,823F88CFD7A04051476317FFF71184BD,FALSE,,,
SRR2820427,2/15/16 17:17,10/26/15 21:48,1157361,287287736,1157361,248,170,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820427,SRX1384858,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135044,SAMN04216210,simple,10090,Mus musculus,GSM1917817,,,,,,,no,,,,,GEO,SRA307256,,public,422329CD3A76A194F29CABBE2601F460,ED2CE15D152E26248252FBBCEC162AA9,FALSE,,,
SRR2820428,2/15/16 17:17,10/26/15 21:48,1361034,324145615,1361034,238,190,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820428,SRX1384859,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135043,SAMN04216211,simple,10090,Mus musculus,GSM1917818,,,,,,,no,,,,,GEO,SRA307256,,public,4C17E9D92C1A595548AC1AEFB3BFB594,37416B89670977F3C847F90418589A54,FALSE,,,
SRR2820430,2/15/16 17:17,10/26/15 21:48,1212907,313267511,1212907,258,181,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820430,SRX1384860,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135042,SAMN04216212,simple,10090,Mus musculus,GSM1917819,,,,,,,no,,,,,GEO,SRA307256,,public,84FE8038405621E84D15211864F0892C,9B89F98D6733876B247E0433ACA23D8A,FALSE,,,
SRR2820431,2/15/16 17:17,10/26/15 21:48,1627701,404186165,1627701,248,238,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820431,SRX1384861,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135041,SAMN04216213,simple,10090,Mus musculus,GSM1917820,,,,,,,no,,,,,GEO,SRA307256,,public,4D44622FEAF0079CF79F465D06981613,CA3A736CE11B8B831EF5709D11FC78E9,FALSE,,,
SRR2820433,2/15/16 17:17,10/26/15 21:48,1264163,340951281,1264163,269,199,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820433,SRX1384862,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135040,SAMN04216214,simple,10090,Mus musculus,GSM1917821,,,,,,,no,,,,,GEO,SRA307256,,public,717E5E7B8025C858471AC1F4569C9AFE,D5D2DD5E7EE57755F0959DBB76BD943B,FALSE,,,
SRR2820434,2/15/16 17:17,10/26/15 21:48,1057528,288867787,1057528,273,180,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820434,SRX1384863,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135039,SAMN04216215,simple,10090,Mus musculus,GSM1917822,,,,,,,no,,,,,GEO,SRA307256,,public,2D2D063829847B063401E964C1A88BB8,749B11DBDF5B72C1872490FA417C9DA8,FALSE,,,
SRR2820436,2/15/16 17:17,10/26/15 21:42,1211998,310367264,1211998,256,183,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820436,SRX1384864,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135038,SAMN04216216,simple,10090,Mus musculus,GSM1917823,,,,,,,no,,,,,GEO,SRA307256,,public,7483EBF00F96448BBB82240CE36CF77F,02A95D30746B5C397DDD932E97E61488,FALSE,,,
SRR2820437,2/15/16 17:17,10/26/15 21:42,1283418,317452228,1283418,247,201,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820437,SRX1384865,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135037,SAMN04216217,simple,10090,Mus musculus,GSM1917824,,,,,,,no,,,,,GEO,SRA307256,,public,314A35D24297628966E404DEF95052DC,694074A8846D9000FFC9537787F0F5A6,FALSE,,,
SRR2820439,2/15/16 17:17,10/26/15 21:42,1189624,297405867,1189624,249,188,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820439,SRX1384866,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135036,SAMN04216218,simple,10090,Mus musculus,GSM1917825,,,,,,,no,,,,,GEO,SRA307256,,public,9C3D1ABA5BB9B21BD383AF04E73794A6,ADB293D547F4439686F6C8EC987F10CB,FALSE,,,
SRR2820440,2/15/16 17:17,10/26/15 21:42,966601,243168588,966601,251,152,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820440,SRX1384867,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135035,SAMN04216219,simple,10090,Mus musculus,GSM1917826,,,,,,,no,,,,,GEO,SRA307256,,public,D8800092611220F6DBE36F7AFBC77370,1EE6D69ED758D8FB25C52424A369BB39,FALSE,,,
SRR2820442,2/15/16 17:17,10/26/15 21:42,1225440,328859109,1225440,268,169,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820442,SRX1384868,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135034,SAMN04216220,simple,10090,Mus musculus,GSM1917827,,,,,,,no,,,,,GEO,SRA307256,,public,32E88DDD9118E10047E010CCAF7CB40C,72693249119803984C8C8618A7F05F59,FALSE,,,
SRR2820443,2/15/16 17:17,10/26/15 21:42,1226493,335987925,1226493,273,167,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820443,SRX1384869,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135033,SAMN04216221,simple,10090,Mus musculus,GSM1917828,,,,,,,no,,,,,GEO,SRA307256,,public,CEEDEE69F59DD1AB0C70DE6F411BF146,50C8BA2B0BADE142018BDD3D6D1DE529,FALSE,,,
SRR2820445,2/15/16 17:17,10/26/15 21:42,1036737,232675555,1036737,224,121,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820445,SRX1384870,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135032,SAMN04216222,simple,10090,Mus musculus,GSM1917829,,,,,,,no,,,,,GEO,SRA307256,,public,741F7A5EC181EB61900C1927963CEA76,254D137AC3E78526F7F915668BBF5D85,FALSE,,,
SRR2820446,2/15/16 17:17,10/26/15 21:42,1002907,220341019,1002907,219,114,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820446,SRX1384871,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135031,SAMN04216223,simple,10090,Mus musculus,GSM1917830,,,,,,,no,,,,,GEO,SRA307256,,public,9C37D7FC41B383ADB3ECF3C7D42C29E9,0C242EB22FBDBE7A6D40CEE9A759B7AA,FALSE,,,
SRR2820448,2/15/16 17:17,10/26/15 21:42,1000445,242182505,1000445,242,125,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820448,SRX1384872,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135030,SAMN04216224,simple,10090,Mus musculus,GSM1917831,,,,,,,no,,,,,GEO,SRA307256,,public,A7AA535822097876E320226F385EE7EA,536CECDCFFACD83E8FBDF73F3AF04B5E,FALSE,,,
SRR2820449,2/15/16 17:17,10/26/15 21:43,1457683,379786015,1457683,260,185,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820449,SRX1384873,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135029,SAMN04216225,simple,10090,Mus musculus,GSM1917832,,,,,,,no,,,,,GEO,SRA307256,,public,AFE35229EEADB7A394B26EC98AF493F0,93A46D1F94613967C4289BF52CFB0540,FALSE,,,
SRR2820451,2/15/16 17:17,10/26/15 21:42,1388510,371422479,1388510,267,184,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820451,SRX1384874,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135028,SAMN04216226,simple,10090,Mus musculus,GSM1917833,,,,,,,no,,,,,GEO,SRA307256,,public,879ED0C12F0FDBC33D640BFEF500D9BE,027534E9D2BEA98BAD1DFB302B6D8D49,FALSE,,,
SRR2820452,2/15/16 17:17,10/26/15 21:42,1094272,258057871,1094272,235,131,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820452,SRX1384876,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135027,SAMN04216168,simple,10090,Mus musculus,GSM1917834,,,,,,,no,,,,,GEO,SRA307256,,public,2D0168F6183FAD61FB7E244305DCB48A,46940F3F324B1422904479980FAE39A3,FALSE,,,
SRR2820454,2/15/16 17:17,10/26/15 21:42,1040849,261299793,1040849,251,134,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820454,SRX1384877,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135026,SAMN04216169,simple,10090,Mus musculus,GSM1917835,,,,,,,no,,,,,GEO,SRA307256,,public,82067451F71E08823CB6846AE22480A4,C101F7B0EC43896D544702E2110EEE7C,FALSE,,,
SRR2820455,2/15/16 17:17,10/26/15 21:42,1126080,275038674,1126080,244,141,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820455,SRX1384879,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135024,SAMN04216170,simple,10090,Mus musculus,GSM1917836,,,,,,,no,,,,,GEO,SRA307256,,public,13F44E003EE395FAD9BC4AD8C56551C7,EFEC564734750E14D25F27A4341E3D2C,FALSE,,,
SRR2820457,2/15/16 17:17,10/26/15 21:48,1767051,487629291,1767051,275,291,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820457,SRX1384880,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135023,SAMN04216171,simple,10090,Mus musculus,GSM1917837,,,,,,,no,,,,,GEO,SRA307256,,public,546699CE93977625B43A8B410F34B0FD,0A881D16A4360D6AB715607864A32275,FALSE,,,
SRR2820458,2/15/16 17:17,10/26/15 21:48,596293,147545951,596293,247,75,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820458,SRX1384881,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135022,SAMN04216172,simple,10090,Mus musculus,GSM1917838,,,,,,,no,,,,,GEO,SRA307256,,public,900D6EEB80DEACBAD0615BCFF7D5871C,B1A36BD21D64961C90DF712D056B218F,FALSE,,,
SRR2820460,2/15/16 17:17,10/26/15 21:47,522694,125859640,522694,240,62,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820460,SRX1384882,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135021,SAMN04216173,simple,10090,Mus musculus,GSM1917839,,,,,,,no,,,,,GEO,SRA307256,,public,5138943D022D9B0D8DF42269E41BCCF1,B200E151BF759090C3C676AB734F68ED,FALSE,,,
SRR2820461,2/15/16 17:17,10/26/15 21:46,1055326,272263278,1055326,257,173,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820461,SRX1384883,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135020,SAMN04216174,simple,10090,Mus musculus,GSM1917840,,,,,,,no,,,,,GEO,SRA307256,,public,1BE061ED6CBFBC9C7E0B514918611149,DE167FBAC52AC46F13C6F40F409663E4,FALSE,,,
SRR2820463,2/15/16 17:17,10/26/15 21:47,1145064,274973790,1145064,240,168,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820463,SRX1384884,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135019,SAMN04216175,simple,10090,Mus musculus,GSM1917841,,,,,,,no,,,,,GEO,SRA307256,,public,733584CE5867160E8637E75D3E844ED5,20122191E83F70FC39A32DA9D711C9ED,FALSE,,,
SRR2820464,2/15/16 17:17,10/26/15 21:46,837815,210490236,837815,251,128,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820464,SRX1384885,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135018,SAMN04216176,simple,10090,Mus musculus,GSM1917842,,,,,,,no,,,,,GEO,SRA307256,,public,238C629983F1B1EE9E0361864DF0A406,3C120475FAE9511761E4FEFEFA838BCD,FALSE,,,
SRR2820466,2/15/16 17:17,10/26/15 21:46,904393,227125971,904393,251,140,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002754/SRR2820466,SRX1384886,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP065285,PRJNA299835,2,299835,SRS1135017,SAMN04216177,simple,10090,Mus musculus,GSM1917843,,,,,,,no,,,,,GEO,SRA307256,,public,67FA72DDE3B57147CD1EE1A0AD03CAA4,DD1D648298D54E1AA7DD3557981C5C5A,FALSE,,,
